Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,PT,Trgt,Src,B1,B2,B3,B4,B5,B6,B7,B8,Value,Trigger,Signals
202,9.80124545,0.01360695,67108864,F,F,,HS CAN,,75C,F,F,10,08,61,11,91,02,00,1E,,,
203,9.80198795,0.000742500000001,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
204,9.82127455,0.0192866,67108864,F,F,,HS CAN,,75C,F,F,21,1E,00,00,00,00,00,00,,,
205,9.938244275,0.116969725,67108864,F,F,,HS CAN,,754,F,F,02,21,11,00,00,00,00,00,,,
206,9.951060575,0.0128163,67108864,F,F,,HS CAN,,75C,F,F,10,08,61,11,91,02,00,1E,,,
207,9.951801125,0.00074055,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
208,9.971051875,0.01925075,67108864,F,F,,HS CAN,,75C,F,F,21,1E,00,00,00,00,00,00,,,
209,10.0881212,0.117069325,67108864,F,F,,HS CAN,,754,F,F,02,21,11,00,00,00,00,00,,,
210,10.100907475,0.012786275,67108864,F,F,,HS CAN,,75C,F,F,10,08,61,11,91,02,00,1E,,,
211,10.101647825,0.000740350000001,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
212,10.120968675,0.01932085,67108864,F,F,,HS CAN,,75C,F,F,21,1E,00,00,00,00,00,00,,,
213,10.238646025,0.11767735,67108864,F,F,,HS CAN,,754,F,F,02,21,11,00,00,00,00,00,,,
214,10.2509306,0.012284575,67108864,F,F,,HS CAN,,75C,F,F,10,08,61,11,91,02,00,1E,,,
215,10.251670875,0.000740275,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
216,10.27093385,0.019262975,67108864,F,F,,HS CAN,,75C,F,F,21,1E,00,00,00,00,00,00,,,
217,10.38979535,0.1188615,67108864,F,F,,HS CAN,,754,F,F,02,21,11,00,00,00,00,00,,,
218,10.4062991,0.01650375,67108864,F,F,,HS CAN,,75C,F,F,10,08,61,11,91,02,00,1E,,,
219,10.407039225,0.000740125,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
220,10.425820075,0.01878085,67108864,F,F,,HS CAN,,75C,F,F,21,1E,00,00,00,00,00,00,,,
221,10.539833425,0.11401335,67108864,F,F,,HS CAN,,754,F,F,02,21,11,00,00,00,00,00,,,
222,10.55575085,0.015917425,67108864,F,F,,HS CAN,,75C,F,F,10,08,61,11,91,02,00,1E,,,
223,10.556493175,0.000742324999999,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
224,10.5758202,0.019327025,67108864,F,F,,HS CAN,,75C,F,F,21,1E,00,00,00,00,00,00,,,
225,10.69049955,0.11467935,67108864,F,F,,HS CAN,,754,F,F,02,21,11,00,00,00,00,00,,,
226,10.7066131,0.01611355,67108864,F,F,,HS CAN,,75C,F,F,10,08,61,11,91,02,00,1E,,,
227,10.707355425,0.000742324999999,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
228,10.7260502,0.018694775,67108864,F,F,,HS CAN,,75C,F,F,21,1E,00,00,00,00,00,00,,,
229,10.84039735,0.11434715,67108864,F,F,,HS CAN,,754,F,F,02,21,11,00,00,00,00,00,,,
230,10.85571475,0.0153174,67108864,F,F,,HS CAN,,75C,F,F,10,08,61,11,91,02,00,1E,,,
231,10.856455075,0.000740324999999,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
232,10.876334325,0.01987925,67108864,F,F,,HS CAN,,75C,F,F,21,1E,00,00,00,00,00,00,,,
233,10.9898135,0.113479175,67108864,F,F,,HS CAN,,754,F,F,02,21,11,00,00,00,00,00,,,
234,11.004804825,0.014991325,67108864,F,F,,HS CAN,,75C,F,F,10,08,61,11,91,02,00,1E,,,
